~Version	Information	Section															
	VERS.	3.0	:														
	WRAP.	NO	:														
	DLM	.	Comma	:													
	MERG.	YES	:Data	merged	using	LAS	tools	(www.logtechcan.com)									
~Well	Information	Section															
#MNEM.UNIT	VALUE/NAME	DESCRIPTION															
#----.----	----------------------------------	--------------------															
	STRT.M	1720.4000	:														
	STOP.M	2382.8000	:														
	STEP.M	0.2000	:														
	NULL.	-999.2500	:														
	COMP.	:															
	WELL.	1551	:														
	FLD	.	:														
	LOC	.	:														
	SRVC.	:															
	DATE.	Sep	21/2016	:													
	CTRY.	:															
	PROV.	:															
	UWI	.	:														
	LIC	.	:														
	LATI.	:															
	LONG.	:															
	GDAT.	NAD83	:														
~Curve	Information	Section															
#MNEM	.UNIT	API	CODE	CURVE	DESCRIPTION												
#----	.----	LG--CV-CL--M	-------------------------														
	DEPT	.M	:1	Measured	Depth												
	U225	.	:2	**MERGED**													
	ROP	M/H.	:3	SMOOTHED	CURVE	>>	SMOOTHED	CURVE	>>	SMOOTHED	CURVE	>>	SMOOTHED	CURVE	>>	3	**MERGED**
	SSTVD	.	0	960	0	0	:4	True	Vertical	Depth							
~Parameter	Information	Section															
#MNEM.UNIT	VALUE	DESCRIPTION															
#----.----	----------------------------------	--------------------															
~A	DEPT	U225	ROP	M/H	SSTVD												
	1720.4000	23.0000	-999.2500	1564.7700													
	1720.6000	24.7748	-999.2500	1564.9633													
	1720.8000	25.5461	-999.2500	1565.1567													
	1721.0000	25.3823	-999.2500	1565.3500													
	1721.2000	25.5071	-999.2500	1565.5433													
	1721.4000	26.2901	-999.2500	1565.7367													
	1721.6000	27.4394	-999.2500	1565.9300													
	1721.8000	28.5834	-999.2500	1566.1233													
	1722.0000	29.4384	-999.2500	1566.3167													
	1722.2000	29.8197	-999.2500	1566.5100													
	1722.4000	29.6932	-999.2500	1566.7033													
	1722.6000	29.2009	-999.2500	1566.8967													
	1722.8000	28.5881	-999.2500	1567.0900													
	1723.0000	28.0669	-999.2500	1567.2833													
	1723.2000	27.7253	-999.2500	1567.4767													
	1723.4000	27.5448	-999.2500	1567.6700													
	1723.6000	27.4919	-999.2500	1567.8633													
	1723.8000	27.5950	-999.2500	1568.0567													
	1724.0000	27.9438	-999.2500	1568.2500													
	1724.2000	28.6246	-999.2500	1568.4433													
	1724.4000	29.6456	-999.2500	1568.6367													
	1724.6000	30.8892	-999.2500	1568.8300													
	1724.8000	32.1232	-999.2500	1569.0233													
	1725.0000	33.0678	-999.2500	1569.2167													
	1725.2000	33.5086	-999.2500	1569.4100													
	1725.4000	33.3976	-999.2500	1569.6033													
	1725.6000	32.8983	-999.2500	1569.7967													
	1725.8000	32.4232	-999.2500	1569.9900													
	1726.0000	32.5250	-999.2500	1570.1833													
	1726.2000	33.0771	-999.2500	1570.3767													
	1726.4000	32.0000	-999.2500	1570.5700													
	1726.6000	33.0174	-999.2500	1570.7633													
	1726.8000	33.4414	-999.2500	1570.9567													
	1727.0000	32.5196	-999.2500	1571.1500													
	1727.2000	30.9881	-999.2500	1571.3433													
	1727.4000	29.4747	-999.2500	1571.5367													
	1727.6000	28.4145	-999.2500	1571.7300													
	1727.8000	28.0428	-999.2500	1571.9233													
	1728.0000	28.3742	-999.2500	1572.1167													
	1728.2000	29.2374	-999.2500	1572.3099													
	1728.4000	30.3387	-999.2500	1572.5029													
	1728.6000	31.3539	-999.2500	1572.6958													
	1728.8000	32.0412	-999.2500	1572.8885													
	1729.0000	32.3307	-999.2500	1573.0808													
	1729.2000	32.3223	-999.2500	1573.2730													
	1729.4000	32.1999	-999.2500	1573.4650													
	1729.6000	32.1333	-999.2500	1573.6567													
	1729.8000	32.2286	-999.2500	1573.8483													
	1730.0000	32.5321	-999.2500	1574.0400													
	1730.2000	33.0410	-999.2500	1574.2317													
	1730.4000	33.7005	-999.2500	1574.4233													
	1730.6000	34.4077	-999.2500	1574.6150													
	1730.8000	35.0417	-999.2500	1574.8067													
	1731.0000	35.4740	-999.2500	1574.9983													
	1731.2000	35.4829	-999.2500	1575.1900													
	1731.4000	34.7494	-999.2500	1575.3817													
	1731.6000	33.5043	-999.2500	1575.5733													
	1731.8000	34.3545	-999.2500	1575.7650													
	1732.0000	33.6882	-999.2500	1575.9567													
	1732.2000	33.1448	-999.2500	1576.1483													
	1732.4000	32.8125	-999.2500	1576.3400													
	1732.6000	32.9077	-999.2500	1576.5317													
	1732.8000	33.3565	-999.2500	1576.7233													
	1733.0000	33.8757	-999.2500	1576.9150													
	1733.2000	34.2387	-999.2500	1577.1067													
	1733.4000	34.3920	-999.2500	1577.2983													
	1733.6000	34.3996	-999.2500	1577.4900													
	1733.8000	34.3289	-999.2500	1577.6816													
	1734.0000	34.1872	-999.2500	1577.8733													
	1734.2000	33.9517	-999.2500	1578.0650													
	1734.4000	33.6512	-999.2500	1578.2567													
	1734.6000	33.4129	-999.2500	1578.4483													
	1734.8000	33.4131	-999.2500	1578.6400													
	1735.0000	33.7495	-999.2500	1578.8317													
	1735.2000	34.3297	-999.2500	1579.0233													
	1735.4000	34.8795	-999.2500	1579.2150													
	1735.6000	35.1018	-999.2500	1579.4067													
	1735.8000	34.9292	-999.2500	1579.5983													
	1736.0000	34.7018	-999.2500	1579.7900													
	1736.2000	34.9836	-999.2500	1579.9817													
	1736.4000	35.5639	-999.2500	1580.1733													
	1736.6000	34.1238	-999.2500	1580.3650													
	1736.8000	33.4867	-999.2500	1580.5567													
	1737.0000	33.9768	-999.2500	1580.7483													
	1737.2000	34.6348	13.9147	1580.9397													
	1737.4000	34.8759	дек.03	1581.1309													
	1737.6000	34.5399	ноя.03	1581.3219													
	1737.8000	33.7970	ноя.04	1581.5129													
	1738.0000	32.9841	ноя.53	1581.7038													
	1738.2000	32.4251	12.1892	1581.8948													
	1738.4000	32.3009	13.1386	1582.0857													
	1738.6000	32.6107	14.1415	1582.2767													
	1738.8000	33.2229	15.0308	1582.4677													
	1739.0000	33.9661	15.6844	1582.6586													
	1739.2000	34.7046	16.0031	1582.8495													
	1739.4000	35.3632	15.9105	1583.0405													
	1739.6000	35.9103	15.3853	1583.2314													
	1739.8000	36.3307	14.4973	1583.4224													
	1740.0000	36.6085	13.3958	1583.6133													
	1740.2000	36.7096	дек.02	1583.8043													
	1740.4000	36.5590	11.0934	1583.9952													
	1740.6000	36.0854	10.1842	1584.1862													
	1740.8000	35.5232	окт.66	1584.3771													
	1741.0000	35.8355	15.5164	1584.5681													
	1741.2000	34.8100	22.2705	1584.7590													
	1741.4000	33.9142	27.5568	1584.9500													
	1741.6000	33.6176	30.7903	1585.1410													
	1741.8000	33.6808	32.1189	1585.3319													
	1742.0000	33.7090	31.9491	1585.5229													
	1742.2000	33.5060	30.7657	1585.7139													
	1742.4000	33.1108	28.9981	1585.9048													
	1742.6000	32.6889	26.9561	1586.0957													
	1742.8000	32.4121	24.8349	1586.2867													
	1743.0000	32.3710	22.7550	1586.4776													
	1743.2000	32.5275	20.7943	1586.6686													
	1743.4000	32.7202	19.0050	1586.8595													
	1743.6000	32.7386	17.4086	1587.0505													
	1743.8000	32.4446	15.9937	1587.2414													
	1744.0000	31.8784	14.7285	1587.4323													
	1744.2000	31.2685	13.5864	1587.6233													
	1744.4000	30.9024	дек.10	1587.8143													
	1744.6000	30.9127	ноя.15	1588.0052													
	1744.8000	31.1635	ноя.62	1588.1962													
	1745.0000	31.4908	ноя.21	1588.3871													
	1745.2000	32.2755	дек.12	1588.5781													
	1745.4000	33.8205	13.4120	1588.7690													
	1745.6000	32.5043	14.3967	1588.9600													
	1745.8000	32.4159	15.0601	1589.1510													
	1746.0000	33.3468	15.3762	1589.3419													
	1746.2000	34.4793	15.4482	1589.5329													
	1746.4000	35.3858	15.3379	1589.7238													
	1746.6000	36.0047	15.0692	1589.9148													
	1746.8000	36.4432	14.6611	1590.1058													
	1747.0000	36.8112	14.1423	1590.2967													
